MLS#	Address	Neighbourhood	Latitude	Longitude	Price	Size(sqft)	Taxes	Age	DOM	Type	Bedrooms	Bathrooms	RealtorURL	ZoloURL	Date
X4655435	117 GRANGE ST, Guelph, Ontario 	Central East	43.5535417	-80.2390946	825000 	2500-3000 sqft	$5,472 /yr	100 years	11 (Dec 18, 2019)	Single Family	6	3	https://www.realtor.ca/real-estate/21415300/6-bedroom-single-family-house-117-grange-st-guelph-central-east	https://www.zolo.ca/guelph-real-estate/117-grange-street	2019-12-30
30782162	115 -  26 Ontario Street, Guelph, Ontario 	-	43.544597	-80.239176	319000 	515 sqft	No Data	No Data	11 (Dec 18, 2019)	Condo	0	1	https://www.realtor.ca/real-estate/21414951/0-bedroom-condo-115-26-ontario-street-guelph	https://www.zolo.ca/guelph-real-estate/26-ontario-street/115	2019-12-30
X4655404	35 WALNUT DR, Guelph, Ontario 	Waverley	43.5646431	-80.2492002	869900 	2500-3000 sqft	$7,490 /yr	31-50 years	11 (Dec 18, 2019)	Single Family	7	4	https://www.realtor.ca/real-estate/21414831/7-bedroom-single-family-house-35-walnut-dr-guelph-waverley	https://www.zolo.ca/guelph-real-estate/35-walnut-drive	2019-12-30
X4655283	#307 -60 LYNNMORE ST E, Guelph, Ontario 	Pine Ridge	43.5160009	-80.1773335	314900 	600-699 sqft	$2,315 /yr	No Data	11 (Dec 18, 2019)	Condo	1	1	https://www.realtor.ca/real-estate/21414818/1-bedroom-condo-307-60-lynnmore-st-e-guelph-pine-ridge	https://www.zolo.ca/guelph-real-estate/60-lynnmore-street-east/307	2019-12-30
X4655256	191 ERAMOSA RD, Guelph, Ontario 	Central East	43.5551946	-80.249317	624900 	700-1100 sqft	$5,015 /yr	No Data	11 (Dec 18, 2019)	Single Family	2 + 1	3	https://www.realtor.ca/real-estate/21414615/2-1-bedroom-single-family-triplex-191-eramosa-rd-guelph-central-east	https://www.zolo.ca/guelph-real-estate/191-eramosa-road	2019-12-30
30781761	117 Grange Street, Guelph, Ontario 	-	43.553477	-80.238998	825000 	-	-	-	-	Single Family	6	3	https://www.realtor.ca/real-estate/21414276/6-bedroom-single-family-house-117-grange-street-guelph	-	2019-12-30
30781745	35 Walnut Drive, Guelph, Ontario 	-	43.564291	-80.249618	869900 	-	-	-	-	Single Family	4 + 3	4	https://www.realtor.ca/real-estate/21414262/4-3-bedroom-single-family-house-35-walnut-drive-guelph	-	2019-12-30
30782166	401 -  25 Kay Crescent, Guelph, Ontario 	-	43.503827	-80.18359	419900 	-	-	-	-	Condo	2	2	https://www.realtor.ca/real-estate/21413339/2-bedroom-condo-401-25-kay-crescent-guelph	-	2019-12-30
30781943	307 -  60 Lynnmore Street, Guelph, Ontario 	-	43.516076	-80.175091	314900 	No Data	No Data	2012	12 (Dec 18, 2019)	Condo	1	1	https://www.realtor.ca/real-estate/21413289/1-bedroom-condo-307-60-lynnmore-street-guelph	https://www.zolo.ca/guelph-real-estate/60-lynnmore-street/307	2019-12-30
X4654671	#41 -63 CONROY CRES, Guelph, Ontario 	College	43.5092356	-80.2535601	298900 	800-899 sqft	$1,728 /yr	31-50 years	12 (Dec 17, 2019)	Condo	2	2	https://www.realtor.ca/real-estate/21412510/2-bedroom-condo-41-63-conroy-cres-guelph-college	https://www.zolo.ca/guelph-real-estate/63-conroy-crescent/41	2019-12-30
30781981	41 -  63 Conroy Crescent, Guelph, Ontario 	-	43.509534	-80.253316	298900 	-	-	-	-	Condo	2	2	https://www.realtor.ca/real-estate/21411999/2-bedroom-condo-41-63-conroy-crescent-guelph	-	2019-12-30
X4586368	#314 -1077 GORDON ST, Guelph, Ontario 	Hanlon Creek	43.5198248	-80.2087324	339900 	500-599 sqft	$2,381 /yr	No Data	97 (Sep 23, 2019)	Condo	1	1	https://www.realtor.ca/real-estate/21411951/1-bedroom-condo-314-1077-gordon-st-guelph-hanlon-creek	https://www.zolo.ca/guelph-real-estate/1077-gordon-street/314	2019-12-30
30781822	191 ERAMOSA Road, Guelph, Ontario 	-	43.555252	-80.24936	624900 	-	-	-	-	Single Family	2 + 1	3	https://www.realtor.ca/real-estate/21408927/2-1-bedroom-single-family-house-191-eramosa-road-guelph	-	2019-12-30
30781457	16 MENZIE Avenue, Guelph, Ontario 	-	43.549983	-80.225002	395000 	850 sqft	No Data	1948	14 (Dec 16, 2019)	Single Family	2	1	https://www.realtor.ca/real-estate/21407929/2-bedroom-single-family-house-16-menzie-avenue-guelph	https://www.zolo.ca/guelph-real-estate/16-menzie-avenue	2019-12-30
X4653260	#44 -60 ARKELL RD, Guelph, Ontario 	Pine Ridge	43.5156586	-80.1977156	639900 	2000-2249 sqft	$5,312 /yr	0-5 years	16 (Dec 13, 2019)	Condo	4	4	https://www.realtor.ca/real-estate/21407569/4-bedroom-condo-44-60-arkell-rd-guelph-pine-ridge	https://www.zolo.ca/guelph-real-estate/60-arkell-road/44	2019-12-30
