MLS#	Address	Neighbourhood	Latitude	Longitude	Price	Size(sqft)	Taxes	Age	DOM	Type	Bedrooms	Bathrooms	RealtorURL	ZoloURL	Date
X4643618	396 SCOTTSDALE DR, Guelph, Ontario 	Old University	43.5207785	-80.2375186	399000 	1200-1399 sqft	$2,697 /yr	No Data	32 (Nov 27, 2019)	Condo	3 + 2	3	https://www.realtor.ca/real-estate/21368882/3-2-bedroom-condo-396-scottsdale-dr-guelph-old-university	https://www.zolo.ca/guelph-real-estate/396-scottsdale-drive/25	2019-12-30
30779688	53 Keating Street, Guelph, Ontario 	-	43.562358	-80.215031	690900 	-	-	-	-	Single Family	3	3	https://www.realtor.ca/real-estate/21367505/3-bedroom-single-family-house-53-keating-street-guelph	-	2019-12-30
30779838	306 -  1229 Victoria Road S, Guelph, Ontario 	-	43.513856	-80.171764	472892 	1124 sqft	No Data	2019	16 (Dec 14, 2019)	Condo	3	2	https://www.realtor.ca/real-estate/21366192/3-bedroom-condo-306-1229-victoria-road-s-guelph	https://www.zolo.ca/guelph-real-estate/1229-victoria-road-south/306	2019-12-30
X4642498	181 DALLAN DR, Guelph, Ontario 	Guelph South	43.5022758	-80.1819627	895000 	2000-2500 sqft	$3,347 /yr	0-5 years	33 (Nov 26, 2019)	Single Family	4	3	https://www.realtor.ca/real-estate/21365361/4-bedroom-single-family-house-181-dallan-dr-guelph-guelph-south	https://www.zolo.ca/guelph-real-estate/181-dallan-drive	2019-12-30
30779745	10 New Street, Guelph, Ontario 	-	43.549469	-80.24652	549000 	-	-	-	-	Single Family	3	1	https://www.realtor.ca/real-estate/21364493/3-bedroom-single-family-house-10-new-street-guelph	-	2019-12-30
X4642265	12 SULLIVAN CRES, Guelph, Ontario 	West Willow Woods	43.5296039	-80.2774186	578447 	1100-1500 sqft	$3,338 /yr	16-30 years	34 (Nov 26, 2019)	Single Family	3	3	https://www.realtor.ca/real-estate/21364459/3-bedroom-single-family-row-townhouse-12-sullivan-cres-guelph-west-willow-woods	https://www.zolo.ca/guelph-real-estate/12-sullivan-crescent	2019-12-30
30779730	181 Dallan Drive, Guelph, Ontario 	-	43.50222	-80.180467	895000 	-	-	-	-	Single Family	4	3	https://www.realtor.ca/real-estate/21364135/4-bedroom-single-family-house-181-dallan-drive-guelph	-	2019-12-30
X4641693	#409 -1219 GORDON ST, Guelph, Ontario 	Hanlon Creek	43.5165986	-80.2039167	385000 	1000-1199 sqft	$3,200 /yr	No Data	34 (Nov 25, 2019)	Condo	4	4	https://www.realtor.ca/real-estate/21362585/4-bedroom-condo-409-1219-gordon-st-guelph-hanlon-creek	https://www.zolo.ca/guelph-real-estate/1219-gordon-street/409	2019-12-30
30779326	9 Stanley Street, Guelph, Ontario 	2 - Exhibition Park	43.555423	-80.270103	684900 	1840 sqft	No Data	No Data	34 (Nov 26, 2019)	Single Family	3 + 1	4	https://www.realtor.ca/real-estate/21361516/3-1-bedroom-single-family-house-9-stanley-street-guelph	https://www.zolo.ca/guelph-real-estate/9-stanley-street	2019-12-30
X4640419	#18 -107 WESTRA DR, Guelph, Ontario 	Onward Willow	43.5225213	-80.3089055	394900 	1200-1399 sqft	No Data	No Data	37 (Nov 22, 2019)	Condo	2	2	https://www.realtor.ca/real-estate/21357693/2-bedroom-condo-18-107-westra-dr-guelph-onward-willow	https://www.zolo.ca/guelph-real-estate/107-westra-drive/18	2019-12-30
